"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 05 01:45:45 GMT 2024","Wed Jun 05 01:45:59 GMT 2024","14021","firefox","","UI E2E Tests - forced to fail","","","page image does not match",""
"passed","Wed Jun 05 01:45:36 GMT 2024","Wed Jun 05 01:45:41 GMT 2024","4798","chromium","","Visual Test","","","element screenshot",""
"failed","Wed Jun 05 01:45:35 GMT 2024","Wed Jun 05 01:45:36 GMT 2024","311","chromium","","API Tests - forced to fail","","","non matching key value pair - array & toContainEqual",""
"failed","Wed Jun 05 01:45:44 GMT 2024","Wed Jun 05 01:45:44 GMT 2024","379","firefox","","API Tests - forced to fail","","","key does not exist - json & toEqual",""
"passed","Wed Jun 05 01:45:36 GMT 2024","Wed Jun 05 01:45:36 GMT 2024","314","chromium","","API Tests","","","invalid movie id - array & toContainEqual",""
"passed","Wed Jun 05 01:45:43 GMT 2024","Wed Jun 05 01:45:43 GMT 2024","337","firefox","","API Tests","","","invalid movie id - json & toEqual",""
"failed","Wed Jun 05 01:46:01 GMT 2024","Wed Jun 05 01:46:02 GMT 2024","208","webkit","","API Tests - forced to fail","","","status does not match",""
"passed","Wed Jun 05 01:46:05 GMT 2024","Wed Jun 05 01:46:10 GMT 2024","5261","webkit","","Key Presses","","","special key press",""
"passed","Wed Jun 05 01:45:35 GMT 2024","Wed Jun 05 01:45:36 GMT 2024","327","chromium","","API Tests","","","invalid movie id - json & toEqual",""
"failed","Wed Jun 05 01:45:43 GMT 2024","Wed Jun 05 01:45:56 GMT 2024","13441","firefox","","UI E2E Tests - forced to fail","","","text does not match",""
"passed","Wed Jun 05 01:45:37 GMT 2024","Wed Jun 05 01:45:49 GMT 2024","12306","chromium","","Visual Test","","","page screenshot",""
"skipped","Wed Jun 05 01:45:40 GMT 2024","Wed Jun 05 01:45:40 GMT 2024","4","chromium","","Basic validations","","","has title",""
"failed","Wed Jun 05 01:45:36 GMT 2024","Wed Jun 05 01:45:43 GMT 2024","7261","chromium","","UI E2E Tests - forced to fail","","","text does not match",""
"passed","Wed Jun 05 01:45:46 GMT 2024","Wed Jun 05 01:45:56 GMT 2024","9925","firefox","","Visual Test","","","element screenshot",""
"passed","Wed Jun 05 01:45:37 GMT 2024","Wed Jun 05 01:45:40 GMT 2024","3719","chromium","","Key Presses","","","special key press",""
