"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","421","non matching key value pair - array & toContainEqual","chromium","Wed Dec 11 02:17:45 GMT 2024","failed","Wed Dec 11 02:17:45 GMT 2024","API Tests - forced to fail","","",""
"","12120","page screenshot","chromium","Wed Dec 11 02:17:47 GMT 2024","passed","Wed Dec 11 02:17:59 GMT 2024","Visual Test","","",""
"","10362","text does not match","webkit","Wed Dec 11 02:18:12 GMT 2024","failed","Wed Dec 11 02:18:22 GMT 2024","UI E2E Tests - forced to fail","","",""
"","2650","common key press","chromium","Wed Dec 11 02:17:49 GMT 2024","passed","Wed Dec 11 02:17:52 GMT 2024","Key Presses","","",""
"","10335","page screenshot","webkit","Wed Dec 11 02:18:15 GMT 2024","passed","Wed Dec 11 02:18:25 GMT 2024","Visual Test","","",""
"","355","status does not match","firefox","Wed Dec 11 02:17:54 GMT 2024","failed","Wed Dec 11 02:17:54 GMT 2024","API Tests - forced to fail","","",""
"","418","invalid movie id - array & toContainEqual","webkit","Wed Dec 11 02:18:12 GMT 2024","passed","Wed Dec 11 02:18:12 GMT 2024","API Tests","","",""
"","0","navigate to login page","webkit","Wed Dec 11 02:18:19 GMT 2024","skipped","Wed Dec 11 02:18:19 GMT 2024","Basic validations","","",""
"","1","navigate to login page","firefox","Wed Dec 11 02:18:06 GMT 2024","skipped","Wed Dec 11 02:18:06 GMT 2024","Basic validations","","",""
"","3576","Github Secrets","chromium","Wed Dec 11 02:17:45 GMT 2024","passed","Wed Dec 11 02:17:49 GMT 2024","Github Environment Tests","","",""
"","5454","login - valid credentials","firefox","Wed Dec 11 02:18:04 GMT 2024","passed","Wed Dec 11 02:18:10 GMT 2024","Login","","",""
"","4245","special key press","chromium","Wed Dec 11 02:17:46 GMT 2024","passed","Wed Dec 11 02:17:50 GMT 2024","Key Presses","","",""
"","245","status does not match","webkit","Wed Dec 11 02:18:11 GMT 2024","failed","Wed Dec 11 02:18:11 GMT 2024","API Tests - forced to fail","","",""
"","6318","element screenshot","webkit","Wed Dec 11 02:18:13 GMT 2024","passed","Wed Dec 11 02:18:19 GMT 2024","Visual Test","","",""
"","4207","common key press","webkit","Wed Dec 11 02:18:18 GMT 2024","passed","Wed Dec 11 02:18:23 GMT 2024","Key Presses","","",""
"","4943","common key press","firefox","Wed Dec 11 02:18:04 GMT 2024","passed","Wed Dec 11 02:18:09 GMT 2024","Key Presses","","",""
"","8603","page image does not match","chromium","Wed Dec 11 02:17:45 GMT 2024","failed","Wed Dec 11 02:17:54 GMT 2024","UI E2E Tests - forced to fail","","",""
"","7489","Github Variables","webkit","Wed Dec 11 02:18:12 GMT 2024","passed","Wed Dec 11 02:18:19 GMT 2024","Github Environment Tests","","",""
